time,open,high,low,close,volume
2023-11-15 04:00:00,1.08718,1.08798,1.08707,1.08786,1431
2023-11-15 05:00:00,1.08786,1.08828,1.0876,1.08822,1079
2023-11-15 06:00:00,1.08822,1.08838,1.08776,1.08777,789
2023-11-15 07:00:00,1.08778,1.08794,1.08726,1.08727,1176
2023-11-15 08:00:00,1.08727,1.08768,1.08716,1.0873,1382
2023-11-15 09:00:00,1.08752,1.08764,1.08648,1.08728,2666
2023-11-15 10:00:00,1.08734,1.08794,1.08667,1.08703,3114
2023-11-15 11:00:00,1.08702,1.08702,1.08438,1.0852,3084
2023-11-15 12:00:00,1.08521,1.08589,1.08506,1.0857,1938
2023-11-15 13:00:00,1.08569,1.08681,1.08558,1.08661,1869
2023-11-15 14:00:00,1.08661,1.0868,1.08543,1.08636,1915
2023-11-15 15:00:00,1.08638,1.08857,1.08401,1.08589,4983
2023-11-15 16:00:00,1.0859,1.0861,1.08315,1.0836,5146
2023-11-15 17:00:00,1.0836,1.08653,1.08338,1.08652,4092
2023-11-15 18:00:00,1.08653,1.08687,1.08484,1.08522,3328
2023-11-15 19:00:00,1.08522,1.08563,1.08432,1.0854,2397
2023-11-15 20:00:00,1.08539,1.08545,1.08421,1.08461,2034
2023-11-15 21:00:00,1.08461,1.08481,1.08411,1.08462,1811
2023-11-15 22:00:00,1.08463,1.08472,1.08425,1.0843,1709
2023-11-15 23:00:00,1.08429,1.08476,1.08427,1.0847,896
2023-11-16 00:00:00,1.0847,1.0851,1.0839,1.08475,921
2023-11-16 01:00:00,1.08487,1.08543,1.0848,1.08542,442
2023-11-16 02:00:00,1.08542,1.08555,1.08508,1.08552,1208
2023-11-16 03:00:00,1.08552,1.08558,1.0842,1.08438,1606
2023-11-16 04:00:00,1.08437,1.0844,1.083,1.08334,1789
2023-11-16 05:00:00,1.08334,1.08358,1.08316,1.08325,1060
2023-11-16 06:00:00,1.08325,1.08373,1.08322,1.08371,574
2023-11-16 07:00:00,1.08371,1.08396,1.08335,1.08379,798
2023-11-16 08:00:00,1.0838,1.08411,1.08364,1.08392,1223
2023-11-16 09:00:00,1.08391,1.08461,1.0834,1.0841,1835
2023-11-16 10:00:00,1.08408,1.08551,1.08384,1.08549,2698
2023-11-16 11:00:00,1.08549,1.08608,1.08478,1.0851,2127
2023-11-16 12:00:00,1.08508,1.08518,1.08431,1.0845,1887
2023-11-16 13:00:00,1.08451,1.08583,1.08448,1.08522,1617
2023-11-16 14:00:00,1.08522,1.08532,1.0839,1.08424,2013
2023-11-16 15:00:00,1.08425,1.08814,1.08418,1.0881,4031
2023-11-16 16:00:00,1.08808,1.08812,1.08582,1.08762,4500
2023-11-16 17:00:00,1.08762,1.08956,1.08717,1.08782,4663
2023-11-16 18:00:00,1.08782,1.08828,1.08464,1.08499,3562
2023-11-16 19:00:00,1.08499,1.08608,1.08472,1.08598,2335
2023-11-16 20:00:00,1.08598,1.08657,1.08564,1.08591,1876
2023-11-16 21:00:00,1.0859,1.086,1.08519,1.08556,1772
2023-11-16 22:00:00,1.08558,1.08581,1.0845,1.08462,1708
2023-11-16 23:00:00,1.08463,1.08538,1.08463,1.08529,823
2023-11-17 00:00:00,1.08515,1.08535,1.08442,1.08518,1145
2023-11-17 01:00:00,1.08533,1.08558,1.08512,1.08531,395
2023-11-17 02:00:00,1.08531,1.08556,1.08488,1.08532,1062
2023-11-17 03:00:00,1.08533,1.0857,1.08504,1.0853,1645
2023-11-17 04:00:00,1.0853,1.0857,1.08494,1.08553,1089
2023-11-17 05:00:00,1.08552,1.0857,1.08532,1.0854,908
2023-11-17 06:00:00,1.08541,1.0855,1.08501,1.08504,721
2023-11-17 07:00:00,1.08506,1.08558,1.0848,1.08532,1094
2023-11-17 08:00:00,1.08534,1.08563,1.08511,1.08512,1196
2023-11-17 09:00:00,1.08512,1.08512,1.08353,1.08383,2301
2023-11-17 10:00:00,1.08384,1.08495,1.08248,1.08482,3487
2023-11-17 11:00:00,1.08483,1.08584,1.08451,1.0853,2901
2023-11-17 12:00:00,1.0853,1.08714,1.08516,1.08708,2597
2023-11-17 13:00:00,1.08707,1.08748,1.08586,1.08661,2461
2023-11-17 14:00:00,1.0866,1.08687,1.08573,1.08633,2354
